사용월,호선명,역ID,지하철역,승차승객수,하차승객수
21.Dec,7호선,485,노원,537791 ,559309 
21.Dec,7호선,486,중계,377622 ,344304 
21.Dec,7호선,487,하계,473880 ,445072 
21.Dec,7호선,488,공릉(서울과학기술대),325063 ,321706 
21.Dec,7호선,489,태릉입구,228452 ,214727 
21.Dec,7호선,490,먹골,276534 ,270133 
21.Dec,7호선,491,중화,293996 ,288275 
21.Dec,7호선,492,상봉(시외버스터미널),464753 ,437400 
21.Dec,7호선,493,면목,433079 ,424072 
21.Dec,7호선,494,사가정,437772 ,436124 
21.Dec,7호선,495,용마산(용마폭포공원),164357 ,159400 
21.Dec,7호선,496,중곡,293684 ,276145 
21.Dec,7호선,497,군자(능동),402774 ,323122 
21.Dec,7호선,498,어린이대공원(세종대),327876 ,324047 
21.Dec,7호선,499,건대입구,347030 ,358238 
21.Dec,7호선,500,뚝섬유원지,197722 ,192384 
21.Dec,7호선,501,청담,500121 ,561234 
21.Dec,7호선,502,강남구청,430896 ,472676 
21.Dec,7호선,503,학동,620344 ,657841 
21.Dec,7호선,504,논현,522257 ,571142 
21.Dec,7호선,505,반포,156824 ,150616 
21.Dec,7호선,506,고속터미널,435992 ,363155 
21.Dec,7호선,507,내방,374944 ,382495 
21.Dec,7호선,508,이수,425365 ,411845 
21.Dec,7호선,509,남성,297504 ,277980 
21.Dec,7호선,510,숭실대입구(살피재),331832 ,334335 
21.Dec,7호선,511,상도,281936 ,271361 
21.Dec,7호선,512,장승배기,252576 ,247635 
21.Dec,7호선,513,신대방삼거리,442740 ,423115 
21.Dec,7호선,514,보라매,261486 ,257718 
21.Dec,7호선,515,신풍,310037 ,296441 
21.Dec,7호선,516,대림(구로구청),224854 ,226757 
21.Dec,7호선,517,남구로,415892 ,435752 
21.Dec,7호선,518,가산디지털단지,1144630 ,1127758 
21.Dec,7호선,519,철산,569673 ,585009 
21.Dec,7호선,520,광명사거리,611155 ,602878 
21.Dec,7호선,521,천왕,303512 ,287677 
21.Dec,7호선,522,온수(성공회대입구),275041 ,255541 
21.Dec,7호선,523,까치울,206632 ,199234 
21.Dec,7호선,524,부천종합운동장,133967 ,117937 
21.Dec,7호선,525,춘의,262440 ,257146 
21.Dec,7호선,526,신중동,384723 ,384389 
21.Dec,7호선,527,부천시청,355208 ,353826 
21.Dec,7호선,528,상동,364141 ,378757 
21.Dec,7호선,529,삼산체육관,145868 ,133017 
21.Dec,7호선,530,굴포천,251690 ,262950 
21.Dec,7호선,531,부평구청,198789 ,178490 
21.Dec,8호선,532,암사,506279 ,449361 
